DIVA;PlatformText;Municipality;MunicipalityID;Longitude;Latitude
60200001;Schrankenberggasse;Wien;49000001;48.1738011;16.3898073
60200002;Achengasse;Wien;49000001;48.2844601;16.4489254
60200003;Ada-Christen-Gasse;Wien;49000001;48.1528296;16.3860433
60200004;Adam-Betz-Gasse;Wien;49000001;48.2155806;16.5354691
60200005;Adamovichgasse;Wien;49000001;48.1426643;16.3386213
60200006;Adolf-Loos-Gasse;Wien;49000001;48.2773939;16.4541985
60200007;Adolf-Unger-Gasse;Wien;49000001;48.1486762;16.3858816
60200008;Afritschgasse;Wien;49000001;48.2470978;16.4516922
60200009;Agavenweg;Wien;49000001;48.2510997;16.5064805
60200010;Neustift, Agnesgasse;Wien;49000001;48.2504477;16.3075665
60200011;Aignerstraße;Wien;49000001;48.2462843;16.3749491
60200012;Auf der Schmelz;Wien;49000001;48.2036497;16.3166215
60200013;Morzinplatz;Wien;49000001;48.2131144;16.374491
60200014;Alaudagasse;Wien;49000001;48.1538904;16.3823243
60200015;Albern;Wien;49000001;48.1600507;16.4849299
60200016;Alberner Hafen;Wien;49000001;48.1583969;16.4945508
60200017;Alberner Hafenzufahrtsstr.;Wien;49000001;48.1720937;16.4724792
60200018;Alberner Straße;Wien;49000001;48.1563654;16.4845346
60200019;Albertgasse;Wien;49000001;48.2106062;16.3440381
60200020;Albertinaplatz;Wien;49000001;48.2049608;16.3685352
60200021;Carminweg;Wien;49000001;48.2531812;16.4210597
60200022;Algenweg;Wien;49000001;48.2487967;16.5314806
60200023;Allerheiligengasse;Wien;49000001;48.2387881;16.3863847
60200024;Allissen;Wien;49000001;48.2863609;16.4306806
60200025;Alois-Behr-Straße;Wien;49000001;48.2058409;16.2412169
60200026;Alsegger Straße;Wien;49000001;48.2316857;16.324365
60200027;Alser Straße;Wien;49000001;48.2171429;16.3419989
60200028;Aichholzgasse;Wien;49000001;48.1803484;16.3240596
60200029;Nußdorfer Straße/Alserbachstraße;Wien;49000001;48.2247859;16.3549526
60200030;Altdorferstraße;Wien;49000001;48.1686968;16.3493741
60200031;Alte Donau;Wien;49000001;48.2379564;16.4242307
60200032;Ratschkygasse;Wien;49000001;48.177599;16.3236104
60200033;Altes Landgut;Wien;49000001;48.1616626;16.3834292
60200034;Althanstraße;Wien;49000001;48.2288373;16.359552
60200035;Altmannsdorfer Straße;Wien;49000001;48.1655993;16.3166125
60200036;Pfeiffenbergergasse;Wien;49000001;48.1946622;16.2610068
60200037;Am Fasangarten;Wien;49000001;48.171255;16.3045931
60200038;Zanggasse;Wien;49000001;48.2388;16.4844448
60200039;Am Heidjöchl;Wien;49000001;48.2370829;16.4878943
60200040;Am Himmelreich;Wien;49000001;48.1639635;16.4378941
60200041;Am Hundsturm;Wien;49000001;48.1876795;16.3481704
60200042;Am Kanal;Wien;49000001;48.1700208;16.4101002
60200043;Am Kanal/Hasenleitengasse;Wien;49000001;48.1636759;16.4184276
60200044;Am Modenapark;Wien;49000001;48.1990992;16.3826208
60200045;Am Platz;Wien;49000001;48.1860564;16.3014849
60200046;Am Rosenhügel;Wien;49000001;48.1618783;16.2908938
60200047;Reichsbrücke;Wien;49000001;48.2298367;16.4124179
60200048;Am Schöpfwerk;Wien;49000001;48.1612312;16.3246076
60200049;Am Spiegeln;Wien;49000001;48.1522782;16.2821981
60200050;Am Spitz;Wien;49000001;48.2582053;16.3973801
60200051;Am Tabor;Wien;49000001;48.2251031;16.3834742
60200052;Fünfhausgasse;Wien;49000001;48.1890869;16.3354412
60200053;Gesundheitszentrum Süd;Wien;49000001;48.169907;16.3451341
60200054;Ameisbachzeile;Wien;49000001;48.2013266;16.2921604
60200055;Ameisgasse;Wien;49000001;48.1938538;16.2995176
60200056;Neubaugasse;Wien;49000001;48.1982909;16.3502006
60200057;Ammerweg;Wien;49000001;48.2185136;16.2604768
60200058;Amongasse;Wien;49000001;48.2301838;16.4694519
60200059;An den Steinfeldern;Wien;49000001;48.1373112;16.2981162
60200060;An den alten Schanzen;Wien;49000001;48.2263838;16.4898437
60200061;An den langen Lüssen;Wien;49000001;48.2526549;16.3419091
60200062;An der Bien;Wien;49000001;48.2069425;16.4802946
60200063;An der Niederhaid;Wien;49000001;48.2041346;16.2697385
60200065;Liebhartstal;Wien;49000001;48.2157482;16.2919089
60200066;Angermayergasse;Wien;49000001;48.1843914;16.2649235
60200067;Anschützgasse;Wien;49000001;48.1903745;16.3230535
60200068;Anton-Bosch-Gasse;Wien;49000001;48.2694419;16.3875166
60200069;Anton-Böck-Gasse;Wien;49000001;48.2964021;16.3897803
60200070;Anton-Krieger-Gasse;Wien;49000001;48.1428202;16.2703852
60200071;Doningasse;Wien;49000001;48.2518294;16.4412089
60200072;Anton-Störck-Gasse;Wien;49000001;48.2649392;16.3863667
60200073;Antonigasse;Wien;49000001;48.2259529;16.3297818
60200074;Anzengruberstraße;Wien;49000001;48.2139345;16.2238256
60200075;Apostelgasse;Wien;49000001;48.2004883;16.3981347
60200076;Aquäduktgasse;Wien;49000001;48.1337201;16.2720202
60200077;Arbeitergasse/Gürtel;Wien;49000001;48.184056;16.3459605
